Name	FRO_Precentral	FRO_Premotor	FRO_Prefrontal	PAR	TEM_Superior	TEM_Inferior	TEM_Medial	TEM_Hippocampus	TEM_Amygdala	OCC_Lateral	OCC_Medial	INS_Anterior	INS_Posterior	OLF_Anterior	OLF_Piriform	OLF_Claustrum	CIN_Anterior	CIN_Posterior	BG_CaudoPutamen	BG_Accumbens	BG_Pallidum	BG_Substantia_Nigra	THL_Thalamus	THL_Hypothalamus	THL_Subthalamus	CBL	BST
center mni x	-0.0980682	0.100296	-0.126568	0.413528	-0.0445786	0.244949	0.513657	0.231113	-0.110443	0.05933	0.184376	-0.170029	0.445892	-0.487553	0.506233	-0.140503	-0.0590668	-0.0335846	-0.0522842	-0.0662956	-0.0728645	-0.797302	0.00684357	-0.111629	-2.92079	0.0744209	-0.0694618
center mni y	-1.0031	4.33841	14.7453	-13.8692	-8.67324	-16.4988	-15.8055	-11.1138	-1.82697	-32.9678	-31.0869	0.322006	-7.258	16.6283	3.82667	-0.0904465	6.58943	-12.2178	0.13382	3.7973	-2.93229	-7.99434	-9.95623	-3.19805	-7.53596	-29.7083	-17.6808
center mni z	14.3993	18.8359	5.53613	15.5874	-1.26601	-6.50763	-6.8803	-7.03738	-7.2262	8.5216	6.69095	-1.09231	5.22334	-5.39395	-5.77026	-2.11301	12.5153	15.1523	2.60009	-2.34954	-0.382805	-7.26681	4.17039	-3.15828	-1.06236	-5.44172	-8.10638
bounding box mni x	-201	-172	-189.5	-205.5	-211	-209.5	-181	-169	-158	-206	-171	-189.5	-184.5	-132.5	-167.5	-172.5	-136	-137	-169.5	-135	-155.5	-123.5	-157	-136.5	-139	-179	-146.5
bounding box mni y	-147	-121	-105.5	-211.5	-188.5	-208.5	-232.5	-178	-133	-262	-250.5	-138.5	-166.5	-92	-106	-145	-137	-181	-172	-107	-139	-143.5	-170	-134.5	-138.5	-247	-224.5
bounding box mni z	34.5	93	32.5	47.5	-10.5	-9	-4.5	9.5	11.5	37.5	51	31	52.5	31	20.5	16	62.5	66.5	19.5	36	37.5	24.5	44.5	27.5	49	6	-12
bounding box mni x	-23	-51.5	-34.5	-18.5	-14.5	-16.5	-46	-56.5	-67	-20	-53	-34.5	-39.5	-91.5	-56.5	-53	-90	-86.5	-55	-90	-68.5	-101.5	-68	-88.5	-85	-45.5	-79
bounding box mni y	-71	-69	-13	-92.5	-84	-109	-97.5	-122	-99.5	-174	-173.5	-84	-113	-21	-89.5	-76	-51	-117	-71	-84	-98.5	-131	-115.5	-107.5	-132	-165.5	-122
bounding box mni z	142	136.5	120.5	142.5	125	88.5	63.5	73.5	78	135.5	124	77	97	43.5	43.5	82	117	135.5	93.5	58.5	72	43.5	86.5	61	52.5	78.5	72
qa	0.149498	0.145125	0.148094	0.110063	0.0957142	0.0629404	0.0935651	0.097399	0.123777	0.0706065	0.0909152	0.168353	0.112052	0.166695	0.187063	0.32422	0.154464	0.125925	0.141834	0.121259	0.114594	0.0955914	0.184659	0.142165	0.380572	0.112992	0.195197
iso	1.34577	1.31482	1.54531	1.41016	1.13789	0.847613	0.798106	0.945938	0.975637	1.04625	0.969878	1.37451	1.26083	0.751087	1.11761	1.0444	1.39949	1.20901	0.852552	0.894904	0.49676	0.436502	0.764542	0.927888	0.74215	0.843932	0.659237
qa_max	0.378714	0.323215	0.578204	0.417907	0.477862	0.421329	0.46895	0.348542	0.422961	0.66146	0.577009	0.666436	0.331937	0.285943	0.570509	0.639274	0.437107	0.452784	0.561691	0.270604	0.537569	0.190109	0.443467	0.351318	0.518727	0.529574	0.735004
iso_max	2.11008	1.81674	2.45058	2.17039	2.0802	1.64731	1.26122	1.32924	1.32097	1.86426	1.47511	1.77877	1.47927	1.28328	1.53769	1.5177	1.82639	1.55873	1.19278	1.22472	0.834707	0.70597	0.97201	1.18929	0.762965	1.25754	0.951143
qa_min	0.0101111	0.0148002	0.0100412	0.0135832	0.00334568	2.35205e-08	0.00155623	0.0143569	0.0209901	0.00462421	0.0136182	0.0410687	0.02746	0.0261349	0.0385023	0.0470563	0.0158353	0.0168064	0.0101188	0.0524996	0.0124517	0.0354384	0.0260913	0.0202279	0.227411	0	0
iso_min	0.206228	0.420532	0.389351	0.531306	0.0768432	7.22594e-07	0.0408124	0.465119	0.390785	0.15287	0.44504	0.985763	0.995139	0.146694	0.433643	0.763829	0.782546	0.794222	0.461919	0.442982	0.35577	0.275746	0.546383	0.509943	0.643091	0	0
